snils;full_name;sex;birth;profession;salary;kids
78794841914;Peggy Moreno;Male;2009-02-05;Armed forces logistics/support/administrative officer;272703;5
74667944732;Tammy Clark;Male;2008-06-23;Seismic interpreter;385572;0
57846416306;Ashley Jones;Female;2006-09-03;Automotive engineer;943664;1
05874860912;Mary Diaz;Male;2018-04-03;Product/process development scientist;989163;2
81132720388;Carol Campbell;Female;2020-11-12;Clinical embryologist;129037;4
60855738473;Robert Hall;Female;2002-03-12;Animal nutritionist;559887;0
03701949822;Sean Johnson;Female;2014-08-16;Trading standards officer;358886;2
38663706669;Lauren Alexander;Female;2011-10-05;Retail buyer;276640;4
06314890312;Craig Davidson;Male;2007-06-09;Further education lecturer;665159;3
36152579995;Alex Bryant;Female;2001-10-20;Electronics engineer;423286;0
64827080599;Robert Stevens;Male;2017-11-17;Designer, blown glass/stained glass;381719;0
46635055163;Sonya Manning;Male;2004-08-07;Broadcast presenter;513758;2
94814906671;Dylan Harrell;Male;2015-01-14;Conservation officer, historic buildings;443612;5
35627701621;Hannah Rogers;Female;2011-06-07;Film/video editor;455443;1
54981543916;Justin Hill DDS;Female;2003-08-14;Magazine features editor;639210;1
26930558191;Jacqueline Higgins;Female;2007-12-24;Sound technician, broadcasting/film/video;679644;3
41127056122;Mark Allen;Female;2002-09-20;Scientist, product/process development;306402;4
87144740234;Tracy Edwards;Female;2012-07-09;Scientist, product/process development;511352;5
19212790528;Joshua Tran;Female;2006-02-07;Scientist, biomedical;638352;4
30213797646;Dr. Mary Davis DDS;Female;2017-12-26;Horticulturist, amenity;957766;4
99187413167;Thomas Ferguson;Male;2009-07-09;Designer, furniture;65028;4
13347740045;Douglas Mann;Female;2003-11-27;Telecommunications researcher;26852;5
64579617938;Ian Salazar;Male;2009-11-24;Facilities manager;733735;0
59674388167;Mallory Scott;Female;2009-10-22;Financial adviser;901306;2
97420140700;Sarah Jacobs;Male;2000-10-19;Production assistant, radio;86531;3
02420215316;Jacob Hernandez;Female;2012-06-22;Customer service manager;101564;2
46522127205;Kristen Johnson;Male;2022-02-14;Scientist, research (medical);431526;3
48869965065;Holly Woods;Male;2019-03-15;Psychologist, occupational;391519;1
90747184916;Joseph Morris;Male;2012-03-02;Forensic psychologist;52717;5
98058491232;James Mills;Female;2005-01-26;Ship broker;844673;1
09710705192;Anna Franklin;Female;2004-07-14;Structural engineer;642135;5
26647136289;Michelle Wilkinson;Male;2013-06-13;Community education officer;176958;3
88015691801;Kenneth Erickson;Female;2015-01-23;Press photographer;230421;3
99586444165;Thomas Ford;Female;2014-03-17;Passenger transport manager;154194;4
45119147845;Heidi Brown;Male;2017-01-16;Futures trader;845517;4
25191790864;Kristi Maldonado;Male;2011-05-05;Learning disability nurse;994535;5
01643381615;Tina Wallace;Female;2011-09-23;Designer, exhibition/display;757158;1
47000318758;James Benson;Female;2004-01-15;Leisure centre manager;392582;4
75551126426;Melissa Elliott;Male;2021-11-17;Civil engineer, contracting;85053;1
19803886308;Cody Fox;Male;2003-10-09;Geologist, engineering;290545;5
81168315831;David Daniel;Male;2013-03-01;Energy manager;474835;2
26187690234;Natalie Burns;Male;2014-07-18;Public relations officer;215822;5
33702661153;Carolyn Johnson;Female;2021-07-04;Product designer;15559;5
93949255939;Margaret Lynch;Female;2017-04-01;Interior and spatial designer;341595;3
17359077411;Melanie Frey;Female;2006-12-11;Educational psychologist;148488;4
30690546167;Kristen Mckinney;Male;2020-04-05;Structural engineer;740727;5
47688042909;Lisa Anderson DDS;Male;2021-09-15;Therapeutic radiographer;50510;1
45282739130;Alex Johnson;Male;2013-04-26;Librarian, academic;453465;5
57022143383;Jason Cook;Male;2023-10-03;Amenity horticulturist;576738;2
28942257473;Lauren Williams DDS;Male;2020-10-23;Social worker;84246;2
11022525325;Jessica Hill;Female;2020-11-03;Illustrator;111036;1
67434614083;Beth Mitchell;Male;2011-05-17;Chartered loss adjuster;823901;1
22148898655;Mark Macdonald;Male;2017-02-08;Gaffer;442367;4
57708845738;Scott Smith;Female;2003-10-28;Chief Technology Officer;902600;0
24430390633;Crystal Murray;Female;2020-08-09;Personnel officer;361312;1
13792773868;David Stephens;Male;2001-05-05;Patent attorney;888660;3
48783515093;Michael Moody;Female;2013-01-22;Paediatric nurse;190538;1
77861154906;Crystal Graham;Female;2023-04-26;Field seismologist;466747;3
50781890157;Nathaniel Gomez;Female;2021-11-10;Analytical chemist;668282;0
44051406533;Ricky Roy;Male;2011-03-11;Psychotherapist, child;868118;5
08789559867;Michael Peterson;Female;2015-05-25;Civil engineer, contracting;826308;4
58649808972;Brittney Haney;Female;2015-10-01;Production designer, theatre/television/film;234330;0
64218575648;Joshua Walker;Male;2022-10-12;Health promotion specialist;472090;0
57388185171;Mr. Justin Clark;Male;2010-07-24;Media buyer;54507;5
64497281916;Jacob Brown;Female;2021-01-22;Scientific laboratory technician;497530;0
26803650083;Helen Campbell;Male;2001-12-01;Physicist, medical;905394;4
06016324051;Michael Smith;Male;2003-12-11;Accountant, chartered public finance;491963;5
50358069633;Kaylee Fitzgerald;Male;2021-09-25;Personal assistant;280655;3
98342474876;Edward Turner;Male;2007-06-06;Aid worker;691140;1
93987696957;Bradley Choi;Male;2003-06-05;Multimedia programmer;422780;2
09388595419;Brent Sweeney;Male;2008-03-06;Production assistant, television;323787;3
55955775787;Phillip Hunter;Female;2022-07-28;Water engineer;706289;4
33853768901;Michael Graham;Female;2023-12-01;Psychologist, sport and exercise;356027;3
59497847209;Natalie Mcdowell;Female;2002-08-18;Patent examiner;635163;0
71545799622;Jill Perez;Male;2018-02-26;Sports development officer;696974;0
81580457310;Rachel Taylor;Female;2022-12-08;Building control surveyor;353064;1
32184627732;Christopher Stewart;Male;2015-05-16;Ship broker;645629;2
96424958745;Julie Williams;Male;2002-04-08;Scientist, forensic;684581;2
55148061744;Regina Torres;Male;2012-02-23;Chiropodist;878558;0
03970296108;Monica Ryan;Male;2012-10-21;Public house manager;115875;3
36858154694;Regina Bradley;Male;2018-08-01;Theatre stage manager;731966;0
85750482149;Christopher Gates;Male;2006-12-28;Nature conservation officer;841248;2
53220634901;Steven Vasquez;Male;2006-02-03;Special effects artist;667230;5
05523751265;Ricky Cook;Female;2014-06-27;Corporate treasurer;396918;3
59769426380;Jessica Buchanan;Male;2017-04-03;Barrister's clerk;114330;5
53361563006;Tiffany Williams;Female;2015-02-18;Chief Financial Officer;155810;3
61657660027;Dana Mcdonald;Male;2021-10-20;Quantity surveyor;303806;0
51164502026;Jerry Jones;Female;2012-06-24;Scientist, forensic;829252;1
68683523370;Kathy Cherry;Female;2001-01-16;Government social research officer;297258;0
99139475930;Deanna Sharp;Female;2004-04-11;Financial planner;322779;0
91348810791;Teresa Brown;Male;2010-09-24;Sports coach;823392;0
00319463643;Brenda Douglas;Female;2000-01-10;Nurse, children's;88152;0
31993475777;Zachary Walker;Female;2006-06-12;Contracting civil engineer;696103;1
21213869491;Carrie Richard;Male;2017-02-07;Patent attorney;5254;3
06760157973;Nathaniel Hamilton;Female;2004-06-07;Sales professional, IT;895740;5
29492541028;Michael Lowe;Male;2005-07-22;English as a foreign language teacher;209382;0
05255771074;Victoria Brown;Male;2008-04-06;Landscape architect;706284;0
14944614603;Derek Butler;Female;2010-10-05;Health promotion specialist;39803;0
52692241251;Zachary Rice;Female;2023-07-11;Quality manager;736019;2
09565234129;Noah Jones;Female;2017-05-20;Therapist, speech and language;603743;1
38894244147;Melinda Roberts;Male;2001-07-14;Hydrogeologist;44554;1
98554454957;Joseph Graham;Male;2011-06-14;Clinical embryologist;612003;1
18443769958;Michael Medina;Female;2016-01-06;Fitness centre manager;453676;2
47319781550;Dr. Vicki Haynes;Female;2000-11-15;Pensions consultant;66655;4
77175713675;Anna Black;Female;2001-02-16;Plant breeder/geneticist;401082;1
67230756842;Holly Benson;Female;2004-09-19;Education officer, community;162333;3
11366756764;Michelle Johnson;Male;2015-06-17;Veterinary surgeon;272167;3
22339051638;Scott Terrell;Female;2016-05-28;Customer service manager;658500;0
02001389248;Rebecca Gallegos;Male;2020-02-28;Retail merchandiser;879331;3
09178617965;Brett Rodriguez;Female;2016-01-12;Nurse, adult;844006;1
60836490309;William Brooks;Male;2015-03-21;Librarian, public;99199;5
99709681756;Joseph Dean;Male;2016-11-10;Health physicist;158811;1
86678120617;Amanda Combs;Female;2021-11-20;Best boy;548808;5
22264312511;Jesus Lucas;Male;2007-03-15;Water quality scientist;926972;4
27181921573;Carrie Barber;Female;2003-10-18;Product designer;415590;5
64564800735;Andrea Moore;Male;2011-03-07;Designer, television/film set;132177;4
99405780238;Dustin Fernandez;Female;2013-12-06;Geoscientist;67815;0
75476711385;Paul Hall;Male;2001-03-27;Fine artist;414963;2
02230079825;Rhonda Martinez;Male;2016-01-23;Information systems manager;350853;4
89168675016;Dr. Samantha Warren;Female;2023-04-13;Psychologist, forensic;588325;0
09200625047;Joseph Hernandez;Male;2006-09-26;Fine artist;629152;0
59728724982;Kenneth Nguyen;Male;2023-06-07;Contractor;620876;3
50535450145;Sean Young;Male;2016-01-25;Retail buyer;657601;5
64360838742;Diane Lambert;Male;2012-05-12;Engineer, technical sales;706436;2
29909000953;Matthew Jones;Female;2007-06-07;Naval architect;817858;0
75855702884;Pam Walker;Male;2019-07-25;Warehouse manager;519729;1
68154040801;Michelle Collier;Female;2000-12-14;Surveyor, building;310447;5
49736666949;Kevin Smith;Female;2002-11-13;Operational researcher;543629;1
62332916738;Kathleen Nelson;Male;2014-02-20;Engineer, control and instrumentation;59429;3
55654150588;Jennifer Olsen;Female;2015-12-25;Psychiatrist;732048;4
75279431979;Clinton Franklin;Female;2003-03-23;Nurse, adult;287747;5
18004252680;Margaret Wilson;Female;2007-02-24;Retail manager;576580;3
99531506995;Pamela Ward;Female;2019-09-24;Barrister's clerk;852484;4
35760243643;Christopher Ford;Female;2013-03-27;Medical secretary;235628;5
28690688274;Jennifer Johnson;Male;2014-06-15;Ceramics designer;554010;0
22592683766;Brian Barnett;Female;2022-04-25;Fast food restaurant manager;863346;4
18142050244;Robert Gardner DDS;Female;2014-05-07;Designer, textile;834929;3
54347557772;Kimberly White;Female;2006-12-02;Armed forces training and education officer;220289;4
89413652061;Jeffery Strickland;Male;2012-01-02;Designer, industrial/product;146415;0
01493014241;Melissa Martinez;Male;2006-08-13;Clinical research associate;627926;0
